Date,Price,Open,High,Low,Vol.,Change %
26-Jun-13,6165.48,6101.91,6177.92,6089.21,754.67M,1.04%
25-Jun-13,6101.91,6029.10,6114.61,6029.10,786.47M,1.21%
24-Jun-13,6029.10,6116.17,6136.11,6023.44,864.11M,-1.42%
21-Jun-13,6116.17,6159.51,6244.17,6116.17,1.51B,-0.70%
20-Jun-13,6159.51,6348.82,6348.82,6144.98,874.37M,-2.98%
19-Jun-13,6348.82,6374.21,6383.61,6327.01,723.62M,-0.40%
18-Jun-13,6374.21,6330.49,6397.33,6311.35,654.14M,0.69%
17-Jun-13,6330.49,6308.26,6370.75,6308.26,575.44M,0.35%
14-Jun-13,6308.26,6304.63,6343.51,6290.62,734.16M,0.06%
13-Jun-13,6304.63,6299.45,6310.95,6205.71,824.35M,0.08%
12-Jun-13,6299.45,6340.08,6364.26,6295.92,693.80M,-0.64%
11-Jun-13,6340.08,6400.45,6401.18,6280.08,736.37M,-0.94%
10-Jun-13,6400.45,6411.99,6421.24,6379.62,597.23M,-0.18%
7-Jun-13,6411.99,6336.11,6421.37,6313.60,786.64M,1.20%
6-Jun-13,6336.11,6419.31,6435.39,6336.11,680.97M,-1.30%
5-Jun-13,6419.31,6558.58,6558.58,6419.31,800.99M,-2.12%
4-Jun-13,6558.58,6525.12,6577.00,6525.12,806.46M,0.51%
3-Jun-13,6525.12,6583.09,6583.09,6514.08,780.01M,-0.88%
31-May-13,6583.09,6656.99,6657.07,6577.75,1.18B,-1.11%
30-May-13,6656.99,6627.17,6656.99,6611.03,594.00M,0.45%
29-May-13,6627.17,6762.01,6762.01,6620.82,613.72M,-1.99%
28-May-13,6762.01,6654.34,6790.70,6654.34,658.60M,1.62%
24-May-13,6654.34,6696.79,6720.08,6640.08,787.89M,-0.63%
23-May-13,6696.79,6840.27,6840.27,6658.77,987.09M,-2.10%
22-May-13,6840.27,6803.87,6875.62,6781.45,964.62M,0.53%
21-May-13,6803.87,6755.63,6803.87,6744.20,763.67M,0.71%
20-May-13,6755.63,6723.06,6755.63,6709.14,736.13M,0.48%
17-May-13,6723.06,6687.80,6726.90,6669.93,855.15M,0.53%
16-May-13,6687.80,6693.55,6714.48,6677.15,766.34M,-0.09%
15-May-13,6693.55,6686.06,6701.68,6669.04,690.86M,0.11%
14-May-13,6686.06,6631.76,6686.06,6618.36,618.40M,0.82%
13-May-13,6631.76,6624.98,6633.26,6602.82,560.54M,0.10%
10-May-13,6624.98,6592.74,6637.84,6591.58,807.52M,0.49%
9-May-13,6592.74,6583.48,6597.26,6571.73,750.09M,0.14%
8-May-13,6583.48,6557.30,6587.39,6547.00,703.45M,0.40%
7-May-13,6557.30,6521.46,6563.90,6521.43,795.85M,0.55%
3-May-13,6521.46,6460.71,6541.69,6451.50,768.86M,0.94%
2-May-13,6460.71,6451.29,6470.34,6409.81,744.89M,0.15%
1-May-13,6451.29,6430.12,6475.87,6429.80,409.46M,0.33%
30-Apr-13,6430.12,6458.02,6483.08,6412.69,1.08B,-0.43%
29-Apr-13,6458.02,6426.42,6458.02,6419.27,636.10M,0.49%
26-Apr-13,6426.42,6442.59,6442.59,6399.37,560.27M,-0.25%
25-Apr-13,6442.59,6431.76,6467.11,6411.94,739.18M,0.17%
24-Apr-13,6431.76,6406.12,6438.93,6396.19,735.70M,0.40%
23-Apr-13,6406.12,6280.62,6406.14,6278.48,719.14M,2.00%
22-Apr-13,6280.62,6286.59,6341.98,6258.98,603.31M,-0.09%
19-Apr-13,6286.59,6243.67,6288.70,6243.67,694.20M,0.69%
18-Apr-13,6243.67,6244.21,6277.79,6225.86,668.15M,-0.01%
17-Apr-13,6244.21,6304.58,6334.44,6225.16,738.34M,-0.96%
16-Apr-13,6304.58,6343.60,6343.60,6297.53,609.90M,-0.62%
15-Apr-13,6343.60,6384.39,6384.42,6300.12,576.45M,-0.64%
12-Apr-13,6384.39,6416.14,6416.14,6368.20,521.45M,-0.49%
11-Apr-13,6416.14,6387.37,6423.56,6377.54,556.83M,0.45%
10-Apr-13,6387.37,6313.21,6405.20,6313.20,678.44M,1.17%
9-Apr-13,6313.21,6276.94,6326.54,6276.94,613.23M,0.58%
8-Apr-13,6276.94,6249.78,6289.59,6249.78,650.41M,0.43%
5-Apr-13,6249.78,6344.12,6346.82,6214.36,668.68M,-1.49%
4-Apr-13,6344.12,6420.28,6426.37,6341.43,680.16M,-1.19%
3-Apr-13,6420.28,6490.66,6491.84,6416.67,676.02M,-1.08%
2-Apr-13,6490.66,6411.74,6501.78,6408.84,913.56M,1.23%
28-Mar-13,6411.74,6387.56,6447.86,6381.99,731.51M,0.38%
27-Mar-13,6387.56,6399.37,6420.90,6344.19,755.24M,-0.18%
26-Mar-13,6399.37,6378.38,6404.52,6369.58,650.36M,0.33%
25-Mar-13,6378.38,6392.76,6458.53,6366.62,768.30M,-0.22%
22-Mar-13,6392.76,6388.55,6426.45,6374.51,768.81M,0.07%
21-Mar-13,6388.55,6432.70,6435.59,6364.00,641.94M,-0.69%
20-Mar-13,6432.70,6441.32,6475.61,6421.29,724.53M,-0.13%
19-Mar-13,6441.32,6457.92,6474.57,6414.45,679.52M,-0.26%
18-Mar-13,6457.92,6489.65,6489.65,6386.17,748.78M,-0.49%
15-Mar-13,6489.65,6529.41,6533.78,6470.10,1.26B,-0.61%
14-Mar-13,6529.41,6481.50,6532.57,6478.54,791.45M,0.74%
13-Mar-13,6481.50,6510.62,6510.62,6437.61,666.28M,-0.45%
12-Mar-13,6510.62,6503.63,6533.99,6491.75,616.79M,0.11%
11-Mar-13,6503.63,6483.58,6505.30,6473.56,625.23M,0.31%
8-Mar-13,6483.58,6439.16,6489.54,6439.16,844.77M,0.69%
7-Mar-13,6439.16,6427.64,6459.68,6427.31,923.03M,0.18%
6-Mar-13,6427.64,6431.95,6460.96,6418.72,1.10B,-0.07%
5-Mar-13,6431.95,6345.63,6437.34,6344.78,683.44M,1.36%
4-Mar-13,6345.63,6378.60,6379.29,6333.17,704.24M,-0.52%
1-Mar-13,6378.60,6360.81,6391.67,6308.56,1.11B,0.28%
28-Feb-13,6360.81,6325.88,6372.00,6325.88,909.99M,0.55%
27-Feb-13,6325.88,6270.44,6335.90,6269.26,707.92M,0.88%
26-Feb-13,6270.44,6355.37,6355.37,6258.62,772.27M,-1.34%
25-Feb-13,6355.37,6335.70,6390.09,6323.98,994.47M,0.31%
22-Feb-13,6335.70,6291.54,6347.25,6291.49,702.83M,0.70%
21-Feb-13,6291.54,6395.37,6395.37,6277.96,733.02M,-1.62%
20-Feb-13,6395.37,6379.07,6412.44,6368.20,756.33M,0.26%
19-Feb-13,6379.07,6318.19,6385.14,6304.40,672.87M,0.96%
18-Feb-13,6318.19,6328.26,6330.17,6306.83,459.97M,-0.16%
15-Feb-13,6328.26,6327.36,6352.20,6309.78,636.56M,0.01%
14-Feb-13,6327.36,6359.11,6364.72,6302.00,713.90M,-0.50%
13-Feb-13,6359.11,6338.38,6384.70,6311.59,756.38M,0.33%
12-Feb-13,6338.38,6277.06,6338.38,6259.82,813.15M,0.98%
11-Feb-13,6277.06,6263.93,6294.81,6252.31,448.13M,0.21%
8-Feb-13,6263.93,6228.42,6278.07,6228.42,589.36M,0.57%
7-Feb-13,6228.42,6295.34,6313.00,6216.72,721.69M,-1.06%
6-Feb-13,6295.34,6282.76,6321.45,6265.55,673.86M,0.20%
5-Feb-13,6282.76,6246.84,6296.47,6244.07,612.21M,0.58%
4-Feb-13,6246.84,6347.24,6347.26,6236.66,765.90M,-1.58%
1-Feb-13,6347.24,6276.88,6353.95,6275.50,686.18M,1.12%
31-Jan-13,6276.88,6323.11,6323.11,6276.88,809.38M,-0.73%
30-Jan-13,6323.11,6339.19,6354.46,6316.29,691.74M,-0.25%
29-Jan-13,6339.19,6294.41,6346.37,6285.77,641.75M,0.71%
28-Jan-13,6294.41,6284.45,6311.26,6277.04,533.45M,0.16%
25-Jan-13,6284.45,6264.91,6284.45,6247.33,585.52M,0.31%
24-Jan-13,6264.91,6197.64,6271.40,6186.48,655.65M,1.09%
23-Jan-13,6197.64,6179.17,6200.49,6178.47,685.18M,0.30%
22-Jan-13,6179.17,6180.98,6188.58,6149.18,558.35M,-0.03%
21-Jan-13,6180.98,6154.41,6182.23,6154.41,401.15M,0.43%
18-Jan-13,6154.41,6132.36,6172.49,6131.93,713.50M,0.36%
17-Jan-13,6132.36,6103.98,6135.89,6087.49,622.93M,0.46%
16-Jan-13,6103.98,6117.31,6117.33,6076.12,818.41M,-0.22%
15-Jan-13,6117.31,6107.86,6117.31,6086.21,701.00M,0.15%
14-Jan-13,6107.86,6121.58,6134.17,6104.90,628.35M,-0.22%
11-Jan-13,6121.58,6101.51,6121.58,6095.07,685.72M,0.33%
10-Jan-13,6101.51,6098.65,6118.30,6090.61,764.65M,0.05%
9-Jan-13,6098.65,6053.63,6112.27,6053.63,812.12M,0.74%
8-Jan-13,6053.63,6064.58,6088.18,6053.63,663.12M,-0.18%
7-Jan-13,6064.58,6089.84,6091.50,6060.75,571.66M,-0.41%
4-Jan-13,6089.84,6047.34,6089.84,6038.02,548.93M,0.70%
3-Jan-13,6047.34,6027.37,6051.30,6016.80,470.67M,0.33%
2-Jan-13,6027.37,5897.81,6044.57,5897.81,652.66M,2.20%
31-Dec-12,5897.81,5925.37,5925.43,5873.43,164.64M,-0.47%
28-Dec-12,5925.37,5954.30,5975.97,5915.32,306.91M,-0.49%
27-Dec-12,5954.30,5954.18,5997.04,5942.44,340.70M,0.00%
24-Dec-12,5954.18,5939.99,5957.69,5937.10,149.88M,0.24%
21-Dec-12,5939.99,5958.34,5958.34,5894.10,933.06M,-0.31%
20-Dec-12,5958.34,5961.59,5970.87,5950.07,596.57M,-0.05%
19-Dec-12,5961.59,5935.90,5977.82,5935.90,743.38M,0.43%
18-Dec-12,5935.90,5912.15,5946.41,5911.10,664.06M,0.40%
17-Dec-12,5912.15,5921.76,5923.92,5881.01,533.51M,-0.16%
14-Dec-12,5921.76,5929.61,5944.50,5915.34,529.96M,-0.13%
13-Dec-12,5929.61,5945.85,5947.85,5918.57,557.27M,-0.27%
12-Dec-12,5945.85,5924.97,5948.50,5915.91,629.91M,0.35%
11-Dec-12,5924.97,5921.63,5937.93,5908.32,514.66M,0.06%
10-Dec-12,5921.63,5914.40,5923.97,5891.33,463.90M,0.12%
7-Dec-12,5914.40,5901.42,5923.11,5889.92,584.10M,0.22%
6-Dec-12,5901.42,5892.08,5923.91,5889.65,637.07M,0.16%
5-Dec-12,5892.08,5869.04,5902.66,5869.04,610.55M,0.39%
4-Dec-12,5869.04,5871.24,5885.36,5852.88,596.03M,-0.04%
3-Dec-12,5871.24,5866.82,5902.00,5859.56,512.05M,0.08%
30-Nov-12,5866.82,5870.30,5904.39,5860.27,699.16M,-0.06%
29-Nov-12,5870.30,5803.28,5883.98,5803.28,652.94M,1.15%
28-Nov-12,5803.28,5799.71,5808.34,5755.23,610.19M,0.06%
27-Nov-12,5799.71,5786.72,5823.18,5786.72,659.09M,0.22%
26-Nov-12,5786.72,5819.14,5819.14,5773.86,601.95M,-0.56%
23-Nov-12,5819.14,5791.03,5830.53,5781.43,427.50M,0.49%
22-Nov-12,5791.03,5752.03,5796.47,5752.03,511.82M,0.68%
21-Nov-12,5752.03,5748.10,5760.12,5727.86,640.01M,0.07%
20-Nov-12,5748.10,5737.66,5751.82,5706.70,803.27M,0.18%
19-Nov-12,5737.66,5605.59,5739.74,5605.59,745.28M,2.36%
16-Nov-12,5605.59,5677.75,5682.68,5605.59,939.39M,-1.27%
15-Nov-12,5677.75,5722.01,5722.01,5674.26,799.77M,-0.77%
14-Nov-12,5722.01,5786.25,5786.25,5719.61,865.46M,-1.11%
13-Nov-12,5786.25,5767.27,5786.25,5710.99,950.28M,0.33%
12-Nov-12,5767.27,5769.68,5795.25,5762.01,654.36M,-0.04%
9-Nov-12,5769.68,5776.05,5786.43,5715.23,708.90M,-0.11%
8-Nov-12,5776.05,5791.63,5824.36,5770.70,729.28M,-0.27%
7-Nov-12,5791.63,5884.90,5921.78,5789.43,922.67M,-1.58%
6-Nov-12,5884.90,5839.06,5885.16,5839.06,774.67M,0.79%
5-Nov-12,5839.06,5868.55,5868.55,5825.55,565.87M,-0.50%
2-Nov-12,5868.55,5861.92,5890.11,5844.30,855.13M,0.11%
1-Nov-12,5861.92,5782.70,5866.76,5777.96,1.04B,1.37%
31-Oct-12,5782.70,5849.90,5866.67,5782.70,874.66M,-1.15%
30-Oct-12,5849.90,5795.10,5852.17,5794.92,403.99M,0.95%
29-Oct-12,5795.10,5806.71,5812.67,5763.51,432.89M,-0.20%
26-Oct-12,5806.71,5805.05,5817.94,5753.31,622.85M,0.03%
25-Oct-12,5805.05,5804.78,5840.57,5802.22,654.44M,0.00%
24-Oct-12,5804.78,5797.91,5823.24,5776.64,953.71M,0.12%
23-Oct-12,5797.91,5882.91,5893.43,5788.96,654.16M,-1.44%
22-Oct-12,5882.91,5896.15,5911.03,5869.88,540.27M,-0.22%
19-Oct-12,5896.15,5917.05,5919.73,5892.23,829.32M,-0.35%
18-Oct-12,5917.05,5910.91,5928.27,5896.49,869.99M,0.10%
17-Oct-12,5910.91,5870.54,5915.59,5868.68,903.40M,0.69%
16-Oct-12,5870.54,5805.61,5878.09,5805.61,877.62M,1.12%
15-Oct-12,5805.61,5793.32,5827.87,5786.03,695.44M,0.21%
12-Oct-12,5793.32,5829.75,5829.75,5793.32,888.09M,-0.62%
11-Oct-12,5829.75,5776.71,5846.30,5766.69,693.36M,0.92%
10-Oct-12,5776.71,5810.25,5810.52,5776.71,681.62M,-0.58%
9-Oct-12,5810.25,5841.74,5856.42,5795.18,574.47M,-0.54%
8-Oct-12,5841.74,5871.02,5871.02,5818.76,492.22M,-0.50%
5-Oct-12,5871.02,5827.78,5885.57,5827.61,883.08M,0.74%
4-Oct-12,5827.78,5825.81,5854.16,5803.22,817.16M,0.03%
3-Oct-12,5825.81,5809.45,5832.48,5785.00,606.20M,0.28%
2-Oct-12,5809.45,5820.45,5840.36,5781.42,704.90M,-0.19%
1-Oct-12,5820.45,5742.07,5843.54,5738.59,690.29M,1.37%
28-Sep-12,5742.07,5779.42,5807.82,5740.52,745.47M,-0.65%
27-Sep-12,5779.42,5768.09,5804.09,5762.98,545.05M,0.20%
26-Sep-12,5768.09,5859.71,5859.71,5751.35,685.63M,-1.56%
25-Sep-12,5859.71,5838.84,5869.17,5828.34,737.35M,0.36%
24-Sep-12,5838.84,5852.62,5852.62,5806.09,736.97M,-0.24%
21-Sep-12,5852.62,5854.64,5887.57,5838.86,1.20B,-0.03%
20-Sep-12,5854.64,5888.48,5888.48,5824.36,656.51M,-0.57%
19-Sep-12,5888.48,5868.16,5894.39,5861.01,704.14M,0.35%
18-Sep-12,5868.16,5893.52,5893.52,5837.52,802.60M,-0.43%
17-Sep-12,5893.52,5915.55,5915.68,5883.22,691.68M,-0.37%
14-Sep-12,5915.55,5819.92,5932.62,5819.92,1.51B,1.64%
13-Sep-12,5819.92,5782.08,5826.57,5770.26,819.53M,0.65%
12-Sep-12,5782.08,5792.19,5821.24,5757.58,1.10B,-0.17%
11-Sep-12,5792.19,5793.20,5796.56,5764.22,779.96M,-0.02%
10-Sep-12,5793.20,5794.80,5806.79,5777.07,672.89M,-0.03%
7-Sep-12,5794.80,5777.34,5807.57,5772.87,1.27B,0.30%
6-Sep-12,5777.34,5657.86,5785.98,5657.86,1.10B,2.11%
5-Sep-12,5657.86,5672.01,5675.91,5634.88,737.25M,-0.25%
4-Sep-12,5672.01,5758.41,5758.41,5658.34,628.71M,-1.50%
3-Sep-12,5758.41,5711.48,5758.41,5701.06,394.56M,0.82%
31-Aug-12,5711.48,5719.45,5763.77,5707.99,851.66M,-0.14%
30-Aug-12,5719.45,5743.53,5743.53,5705.65,479.12M,-0.42%
